,X,y
18303,August 1944,
18304,September 1944,
18305,15 October 1944,
18306,28 December 1944,
18307,29 December 1944,
18308,February 1945,
18309,between 1 January and 16 February 1945,
18310,13 February 1945,
18311,20 January 1945,
18312,the end of March,
18313,4 April 1945,
18314,7 May 1945,
18315,1941 to 1945,
18316,1944 to 1945,
18317,1947,
18318,1941 to 1945,
18319,1938,
18320,1941,
18321,pre-1938,
18322,September 1944,
18323,April 1945,
18324,almost two months,
18325,December 1944 to February 1945,
18326,November 1944,
18327,22 December 1944,
18328,1947,
18329,between 1938 and 1941,
18330,pre-1938,
18331,1938,
18332,today,
18333,10 February 1947,
18334,"November 2, 1938",
18335,1 January 1938,
18336,1919,
18337,1946–1948,
18338,21 December 1944,
18339,November 1945,
18340,1 February 1946,
18341,February 1947,
18342,May 1947,
18343,August 1947,
18344,1945,
18345,June 1948,
18346,February 1949,
18347,18 August 1949,
18348,1949,
18349,1936,
18350,May 1949,
18351,September 1949,
18352,the next three years,
18353,1950,
18354,Slavishly,
18355,1945,
18356,December 1948,
18357,five weeks,
18358,1951,
18359,1953,
18360,1945,
18361,5 March 1953,
18362,the next three years,
18363,1954,
18364,9 March 1955,
18365,18 April,
18366,February 1956,
18367,18 July 1956,
18368,1949,
18369,6 October 1956,
18370,13 October,
18371,1956,
18372,23 October 1956,
18373,24 October,
18374,25 October,
18375,28 October,
18376,29 October,
18377,30 October,
18378,1 November,
18379,3 November,
18380,4 November 1956,
18381,1958,
18382,the early 1960s,
18383,post-1956,
18384,1966,
18385,the next two decades,
18386,the early 1980s,
18387,late 1988,
18388,the 1956 revolution,
18389,1988,
18390,1989,
18391,October 1989,
18392,2004,
18393,February 1989,
18394,October 1956,
18395,April 1989,
18396,June 1991,
18397,June 1989,
18398,1956,
18399,late summer 1989,
18400,October 1989,
18401,16–20 October 1989,
18402,23 October,
18403,1989,
18404,May 1990,
18405,June 1991,
18406,December 1993,
18407,May 1994,
18408,1990,
18409,the 1970s and 1980s,
18410,1995,
18411,1998,
18412,1994,
18413,1998,
18414,1997,
18415,1999,
18416,2002,
18417,1 January 2004,
18418,1989,
18419,2002,
18420,12 April 2003,
18421,1 May 2004,
18422,April 2006,
18423,1989,
18424,late May 2006,
18425,June 2006,
18426,17 September,
18427,23 October 2006,
18428,1989,
18429,2007,
18430,the end of 2007,
18431,2008,
18432,2008,
18433,March 2009,
18434,2010,
18435,2010,
18436,2011,
18437,1 January 2012,
18438,2014,
18439,2010,
18440,2014,
18441,2014,
18442,2010,
18443,2014,
18444,year-long,
18445,2014,
18446,February 2015,
18447,2015,
18448,summer 2015,
18449,September 2015,
18450,2016,
18451,2016,
18452,October,
18453,2018,
18454,18 May 2018,
18455,October 2019,
18456,2006.In March 2022,
18457,2022,
18458,a month later,
18459,September 2022,
18460,the 1920s,
18461,the 1930s,
18462,1989,
18463,8 April 2005,
18464,6 January 2006,
18465,1911,
18466,1038,
18467,the late ninth century,
18468,the end of the tenth century,
18469,the early thirteenth century,
18470,the 13th century,
18471,1281,
18472,1319,
18473,1376,
18474,eighteenth centuries,
18475,the nineteenth century,
18476,1799,
18477,1844,
18478,1 December 1918,
18479,1940,
18480,1941,
18481,1944,
18482,one year,
18483,"August 1, 1980",
18484,about 20 million years ago,
18485,about 20 million years ago,
18486,about 55 million years,
18487,"only about 700,000 years old",
18488,"110,000 years ago",
18489,"about 10,000 years ago",
18490,fourth century,
18491,the third century,
18492,centuries,
18493,Hiberno,
18494,the 1100s,
18495,twelfth-century,
18496,between 1122 and 1133,
18497,one winter,
18498,winter,
18499,summer,
18500,winter,
18501,some three centuries,
18502,the next decades,
18503,a couple of decades,
18504,the end of the 9th century,
18505,the early 12th century,
18506,at least 200 years,
18507,60 years,
18508,each summer,
18509,its commonwealth years,
18510,the tenth century,
18511,the end of the first millennium,
18512,the year 1000,
18513,1056,
18514,the 11th and 12th centuries,
18515,around 1200 to 1262,
18516,1220,
18517,1235,
18518,the 13th century,
18519,decades,
18520,1297,
18521,the decades,
18522,winters,
18523,a year,
18524,winters,
18525,1380,
18526,the late 10th century,
18527,1660,
18528,1627,
18529,the start of the 15th century,
18530,the 15th century,
18531,The 16th century,
18532,the mid-17th century,
18533,the middle of the 16th century,
18534,1541,
18535,1550,
18536,this day,
18537,1602,
18538,1786,
18539,the 18th century,
18540,1783,
18541,1814,
18542,the 19th century,
18543,1843,
18544,centuries,
18545,1800,
18546,1874,
18547,a thousand years,
18548,1904,
18549,1903,
18550,1 December 1918,
18551,1940,
18552,three years later,
18553,the 1930s,
18554,1944,
18555,the quarter of a century,
18556,1918,
18557,1929,
18558,1932,
18559,pre-1930,
18560,after 1939,
18561,the spring of 1939,
18562,September,
18563,9 April 1940,
18564,10 April,
18565,10 May 1940,
18566,July 1941,
18567,the end of,
18568,1944,
18569,31 December 1943,
18570,25 years,
18571,20 May 1944,
18572,four-day,
18573,17 June 1944,
18574,the immediate postwar years,
18575,the prosperous war years,
18576,the 1990s,
18577,October 1946,
18578,30 March 1949,
18579,1950,
18580,5 May 1951,
18581,2006,
18582,2018,
18583,the 1950s to the mid-1970s,
18584,1991,
18585,1994,
18586,1995,
18587,the beginning of the decade,
18588,the late 1970s,
18589,1999,
18590,2003,
18591,2004,
18592,13 years,
18593,1991,
18594,2004,
18595,2004 to 2006,
18596,the early 1990s,
18597,1994,
18598,2000s,
18599,2003,
18600,March 2006,
18601,12 August 2006,
18602,September 2006,
18603,2016,
18604,May 2007,
18605,October 2008,
18606,late 2008,
18607,early 2009,
18608,1 February 2009,
18609,April 2009,
18610,May 2009,
18611,1887,
18612,2009,
18613,2012,
18614,2012,
18615,2013,
18616,September 2017,
18617,9-month-old,
18618,2017,
18619,30 November 2017,
18620,1 August 2016,
18621,2020,
18622,2010,
18623,1915,
18624,1100 Years,
18625,2000,
18626,1262,
18627,20th-century,
18628,2005,
18629,1991,
18630,9979-9064-4-8,
18631,1988,
18632,0-520-06954-4,
18633,31 January 2010,
18634,1997,
18635,0-8108-3352-2,
18636,2000,
18637,0-8166-3588-9,
18638,31 January 2010,
18639,1100 Years,
18640,2000,
18641,1-85065-420-4,
18642,2010,
18643,978-9979-3-3164-3,
18644,26 September 2004,
18645,2 February 2009,
18646,31 January 2010,
18647,2002,
18648,9979-9059-7-2,
18649,Autumn 2009,
18650,151–70,
18651,2012,
18652,2009,
18653,978-9979-53-513-3,
18654,2010,
18655,24 October 1996,
18656,2 February 2009,
18657,31 January 2010,
18658,1997,
18659,the 19th century,
18660,1976,
18661,the 16th-century,
18662,the times of Voltaire,
18663,the eighteenth century,
18664,1605,
18665,the 1940s,
18666,2010,
18667,the late 1960s,
18668,2010,
18669,2001,
18670,1973,
18671,1873–1962,
18672,the early decades of the 20th century,
18673,1910 to 1939,
18674,decades,
18675,1936,
18676,the 21st century,
18677,2013,
18678,2016,
18679,2022,
18680,2021,
18681,2020,
18682,2004,
18683,2017,
18684,2013,
18685,2,
18686,3,
18687,2006,
18688,1951,
18689,2006,
18690,1945,
18691,2 vol 1998,
18692,the Postwar Years,
18693,1997,
18694,1993,
18695,the Present Day,
18696,1945,
18697,1987,
18698,2014,
18699,2010,
18700,1960,
18701,2006,
18702,2012,
18703,the 7th century AD,
18704,20th-century,
18705,2000,
18706,the 7th century,
18707,the late 13th century,
18708,the 13th century,
18709,the end of the 12th century,
18710,the 16th century,
18711,the 16th century,
18712,1602,
18713,1610,
18714,1800,
18715,the early 20th century,
18716,Two days,
18717,August 1945,
18718,December 1949,
18719,1965,
18720,March 1968,
18721,three decades,
18722,the late 1990s,
18723,21 May 1998,
18724,2004,
18725,2007,
18726,1891,
18727,"at least 700,000 years old",
18728,the 1930s,
18729,2011,
18730,1977,
18731,2010,
18732,1 million years ago,
18733,2014,
18734,"500,000-year-old",
18735,the 1890s,
18736,2003,
18737,"13,000 years old",
18738,2017,
18739,"100,000 years ago",
18740,"50,000 to 190,000 years ago",
18741,"around 45,000 years ago",
18742,2011,
18743,"42,000 years ago",
18744,"3,000 years",
18745,the 1st century,
18746,11 December 2019,
18747,"more than 44,000 years old",
18748,the 2nd century,
18749,centuries,
18750,the 12th century,
18751,the 1st century,
18752,2nd-century,
18753,the 5th century,
18754,the beginning of the 4th century,
18755,5th-century,
18756,1500 years,
18757,the 6th to 7th centuries,
18758,the 7th to 11th,
18759,around centuries,
18760,the 14th and 15th centuries,
18761,the 15th century,
18762,the 8th and 10th centuries,
18763,the Sanjaya dynasty,
18764,1006,
18765,the era,
18766,1019,
18767,the 7th century,
18768,present-day,
18769,the 7th century,
18770,the 13th century,
18771,the 11th century,
18772,the 11th century,
18773,the late 13th century,
18774,1374,
18775,1414,
18776,the late 13th century,
18777,about 1293,
18778,1290,
18779,1293,
18780,1331 to 1364,
18781,A few years,
18782,the 14th century,
18783,1478 to 1520,
18784,the 13th century,
18785,the end of the 7th,
18786,13th century,
18787,the 16th and 17th centuries,
18788,the 1570s,
18789,the throne around 1584,
18790,1613,
18791,that year,
18792,1613 to 1646,
18793,the first half of the 17th century,
18794,1526 to 1813 AD,
18795,the 16th century,
18796,the 16th and 17th centuries,
18797,the early 15th century,
18798,1453,
18799,the 18th and 19th centuries,
18800,1512,
18801,the latter half of the 16th century,
18802,modern-day,
18803,1602,
18804,1619,
18805,the mid-17th century,
18806,1641,
18807,1667,
18808,1660,
18809,1680,
18810,the 18th century,
18811,1800,
18812,1806,
18813,1806,
18814,1685,
18815,only one year,
18816,21 June 1812,
18817,1817,
18818,1815,
18819,1814,
18820,1800,
18821,1816,
18822,1825–1830,
18823,1830,
18824,60 days of the year,
18825,1870,
18826,1901,
18827,1950,
18828,the early 20th century,
18829,three centuries,
18830,1975,
18831,1999,
18832,October 1908,
18833,10 September 1912,
18834,December 1912,
18835,29 December 1929,
18836,this date,
18837,1914,
18838,1924,
18839,December 1924,
18840,One year later,
18841,1925,
18842,1926 to 1927,
18843,December 1931,
18844,1 August 1933,
18845,May 1940,
18846,July 1940,
18847,June 1941,
18848,December of that year,
18849,That same month,
18850,March 1942,
18851,July 1942,
18852,1943,
18853,March 1945,
18854,May,
18855,9 August 1945,
18856,24 August,
18857,17 August,
18858,17 August 1945,
18859,two days,
18860,December 1946,
18861,yearly,
18862,December 1949,
18863,the end of,
18864,four years,
18865,27 December 1949,
18866,four years,
18867,17 August 1950,
18868,five years,
18869,1948,
18870,between 1955 and 1961,
18871,1950,
18872,1948,
18873,between 1945 and 1958,
18874,1955,
18875,more than a quarter,
18876,1956,
18877,February 1957,
18878,9 July 1959,
18879,September 1960,
18880,1999,
18881,1960,
18882,1963,
18883,1963,
18884,the mid-1960s,
18885,1965,
18886,30 September 1965,
18887,1 October,
18888,this day,
18889,pre-October 1965,
18890,March 1967,
18891,March 1968,
18892,1970,
18893,1 December 1961,
18894,18 December,
18895,1961,
18896,1962,
18897,1962,
18898,August 1962,
18899,1 May 1963,
18900,1969,
18901,1973,
18902,the years,
18903,1975,
18904,the eastern half,
18905,1975,
18906,11 August 1975,
18907,the start of a,
18908,month-long,
18909,28 November,
18910,Nine days later,
18911,7 December,
18912,1998,
18913,30 August 1999,
18914,more than three quarters,
18915,months,
18916,October 1999,
18917,May 2002,
18918,1996,
18919,20–22 June,
18920,almost a month,
18921,26 July,
18922,27 July,
18923,The day,
18924,1997,
18925,1998,
18926,1997,
18927,December,
18928,March 1998,
18929,21 May,
18930,7 June 1999,
18931,May 1998,
18932,May 1998,
18933,1998,
18934,1998,
18935,1999,
18936,October 1999,
18937,five-year,
18938,early November 1999,
18939,August 2000,
18940,annual,
18941,August 2000,
18942,29 January 2001,
18943,23 July,
18944,2004,
18945,2014,
18946,2019,
18947,2002,
18948,2005,
18949,2003,
18950,2004,
18951,2009,
18952,14 January 2016,
18953,26 December 2004,
18954,1997,
18955,annually,
18956,the dry season,
18957,1997,
18958,2005,
18959,2006,
18960,2009,
18961,2013,
18962,2015,
18963,September 2014,
18964,2013,
18965,2001,
18966,between 1997 and 2000,
18967,"90-6718-160-9
Schwarz",
18968,1994,
18969,2012,
18970,2014,
18971,the late 1950s,
18972,the early 1960s,
18973,1965,
18974,1969,
18975,the early 1970s,
18976,the 1970s,
18977,1974,
18978,the early 1980s,
18979,1986,
18980,1989,
18981,1990,
18982,late 1989 and 1990,
18983,1995,
18984,the mid-1990s,
18985,2019,
18986,the year 1993,
18987,2000,
18988,2007,
18989,the late 19th century,
18990,the 1920s,
18991,1948,
18992,the next half-century,
18993,the 1940s,
18994,the 1950s,
18995,February 1959,
18996,June that year,
18997,January 1960,
18998,present-day,
18999,August 1962,
19000,October 1962,
19001,1963,
19002,1964,
19003,five years,
19004,1973,
19005,two years,
19006,the 1960s,
19007,1965,
19008,Later that year,
19009,The following year,
19010,1967,
19011,1968,
19012,1968,
19013,the 1970s,
19014,1965,
19015,1973,
19016,1976,
19017,1986,
19018,1966,
19019,January 1967,
19020,the 1950s,
19021,the 1960s,
19022,October 1967,
19023,"October 29, 1969",
19024,December 1969,
19025,the same year,
19026,1969,
19027,today,
19028,"April 7, 1969",
19029,1970,
19030,These early years,
19031,1972,
19032,1973,
19033,1981,
19034,1966,
19035,December 1971,
19036,October 1972,
19037,the next several years,
19038,the mid-1980s,
19039,1973,
19040,1974,
19041,March 1976,
19042,1978,
19043,1981,
19044,the 1990s,
19045,1979,
19046,1980,
19047,1979,
19048,1980,
19049,1981,
19050,1987,
19051,1989,
19052,1973–1989,
19053,1971,
19054,1972,
19055,Later that year,
19056,1973,
19057,May 1974,
19058,December 1974,
19059,1975,
19060,several years,
19061,"November 22, 1977",
19062,between 1976 and 1977,
19063,1978,
19064,September 1981,
19065,1982,
19066,January 1983,
19067,several years,
19068,July 1975,
19069,1983,
19070,the 1980s,
19071,the mid-1980s,
19072,the mid-1980s,
19073,1989,
19074,1981,
19075,1986,
19076,1988,
19077,1990,
19078,1991,
19079,1995,
19080,1996,
19081,December 1974,
19082,the late 1980s,
19083,the late 1970s,
19084,1995,
19085,June 1996,
19086,1994,
19087,1917,
19088,Forty years later,
19089,"November 13, 1957",
19090,May 16,
19091,1973,
19092,Three years later,
19093,1977,
19094,the early 1980s,
19095,early 1982,
19096,1973.Between 1984 and 1988,
19097,1989,
19098,1981,
19099,1984,
19100,1988,
19101,The previous year,
19102,January 1989,
19103,1992,
19104,1984,
19105,1989,
19106,1991,
19107,The same year,
19108,the late 1980s,
19109,early 1990s,
19110,1982,
19111,the following year,
19112,August 1983,
19113,December 1984,
19114,1990.Japan,
19115,1984,
19116,1989,
19117,the late 1980s,
19118,1989,
19119,1989,
19120,1989,
19121,the beginning of the 1990s,
19122,August 1995,
19123,1997,
19124,1996,
19125,1997,
19126,1998,
19127,the 1990s,
19128,1991,
19129,1994,
19130,annual,
19131,1990,
19132,1992,
19133,the late 1980s,
19134,1989.In 1992,
19135,42,
19136,1990,
19137,"April 30, 1995",
19138,11 January 1994,
19139,1993-4,
19140,the first decade or so,
19141,the 2000s,
19142,today,
19143,the early 2000s,
19144,the early 2000s,
19145,the period 1997 to 2001,
19146,January 2011,
19147,4294967296,
19148,2128,
19149,"many years, decades",
19150,2004,
19151,around 2005,
19152,2010,
19153,the late 2000s,
19154,2004,
19155,1999,
19156,around 2010,
19157,the 1980s,
19158,January 1999,
19159,late 2004,
19160,18 and 34,
19161,"January 22, 2010",
19162,the late 1990s,
19163,November 2008,
19164,March 2009,
19165,March,
19166,February 2011,
19167,1983,
19168,1991,
19169,October 1992,
19170,1366,
19171,May 1992,
19172,1993,
19173,1993,
19174,1992,
19175,December 1997,
19176,1998,
19177,quarterly,
19178,January 1986,
19179,October 1986,
19180,February 1987,
19181,July 1987,
19182,1992,
19183,July 1993,
19184,Today,
19185,April 1969,
19186,1992,
19187,the 21st century,
19188,the 1990s,
19189,2000,
19190,September 2009,
19191,"October 1, 2016",
19192,November 2005,
19193,October/November 2006,
19194,annually,
19195,November 2009,
19196,November 2019,
19197,"April 23, 2014",
19198,"May 15, 2014",
19199,"November 10, 2014",
19200,"January 16, 2015",
19201,"January 31, 2015",
19202,1934,
19203,"February 26, 2015",
19204,"February 26, 2015",
19205,1934,
19206,1996,
19207,"March 12, 2015",
19208,"April 13, 2015",
19209,"December 14, 2017",
19210,"March 12, 2015",
19211,1965,
19212,1971,
19213,1979,
19214,the early years,
19215,1978,
19216,1980,
19217,1981,
19218,1985,
19219,today,
19220,1991,
19221,1991,
19222,1991,
19223,1992,
19224,1993,
19225,1988,
19226,1991,
19227,1999,
19228,2000,
19229,2001,
19230,2001,
19231,2005,
19232,2006,
19233,2010,
19234,2003,
19235,2009,
19236,2010,
19237,"April 24, 2012",
19238,June 2007,
19239,1999,
19240,2020,
19241,2010,
19242,2020,
19243,"December 3, 1992",
19244,1996,
19245,1999,
19246,2001,
19247,2008,
19248,2020,
19249,2021,
19250,2021,
19251,1996,
19252,1998,
19253,2000,
19254,1969,
19255,1999,
19256,978-0262011723,
19257,1993,
19258,0-19-286207-3,
19259,1998,
19260,1996,
19261,1998,
19262,5): 1530–1552,
19263,0002-8762,
19264,2649970,
19265,2014,
19266,2010,
19267,978-1861897770,
19268,2003,
19269,2009,
19270,the mid-20th century,
19271,"almost 1,000 years",
19272,the eighth to tenth centuries,
19273,1501,
19274,centuries,
19275,1501,
19276,the 1979,
19277,1 April,
19278,the first half of the 19th century,
19279,centuries,
19280,between 1804–1813 and 1826–1828,
19281,"10,000 years ago",
19282,1949,
19283,"10,000-year-old",
19284,as early as 4395 cal,
19285,"7,000-year-old",
19286,7000-year-old,
19287,4500,
19288,the fourth millennium,
19289,early as the 20th century,
19290,the mid-first,
19291,the first half of the first millennium,
19292,over 150 years,
19293,the second half of the seventh century,
19294,a century,
19295,the late sixth century,
19296,512/511,
19297,the first half of the 5th century,
19298,several decades,
19299,the Arsacid dynasty,
19300,the late third century,
19301,five centuries,
19302,224 AD,
19303,the Arsacid dynasty,
19304,centuries,
19305,the dynasty,
19306,224–651 AD,
19307,more than 400 years,
19308,today,
19309,the first century,
19310,the seventh century,
19311,roughly six hundred years,
19312,700 years,
19313,dynasty,
19314,the end of the age,
19315,the end of the seventh century,
19316,the 7th century,
19317,this era,
19318,later that year,
19319,the new dynasty,
19320,the 9th century,
19321,the 9th century,
19322,The 9th century,
19323,more than twenty years,
19324,861–1003,
19325,1537,
19326,the early 10th century,
19327,the mid-11th century,
19328,1258,
19329,the mid-9th century,
19330,the end of the 11th century,
19331,the centuries,
19332,the 9th and 10th centuries,
19333,The Samanid dynasty,
19334,thousands of years,
19335,present-day,
19336,a dynasty,
19337,1186,
19338,the last decade,
19339,the 10th century,
19340,several years,
19341,1030,
19342,1040,
19343,the 11th century,
19344,the 11th to 14th centuries,
19345,Today,
19346,the dynasty,
19347,1055,
19348,1092,
19349,more than 150 years,
19350,the early 13th century AD,
19351,a few decades,
19352,1218,
19353,1219,
19354,1219,
19355,1220,
19356,1227,
19357,the six centuries,
19358,the next eighty years,
19359,1258,
19360,1260,
19361,1335,
19362,mid-14th-century,
19363,the first nine Islamic centuries,
19364,nine centuries,
19365,the 10th and 11th centuries,
19366,1090 AD,
19367,1256,
19368,the beginning of the 16th century,
19369,1381,
19370,1452,
19371,1468,
19372,hundreds of years,
19373,1374,
19374,1378,
19375,present-day,
19376,1502–1736,
19377,this era,
19378,1501–1736,
19379,1501 to 1722,
19380,1729 to 1736,
19381,July 1501,
19382,nearly a century,
19383,A year,
19384,many centuries,
19385,the Qajar dynasty,
19386,1587,
19387,16,
19388,1598,
19389,1618,
19390,Between 1616 and 1618,
19391,1602,
19392,1622,
19393,1666,
19394,the beginning of the end of,
19395,1722,
19396,the same year of 1722,
19397,1724,
19398,1736,
19399,1739,
19400,years,
19401,several years later,
19402,his later years,
19403,1744,
19404,three centuries,
19405,1779,
19406,1779,
19407,1783,
19408,1783,
19409,four centuries,
19410,1796,
19411,about sixty years earlier,
19412,1797,
19413,1798,
19414,1799,
19415,the late 17th/early 18th century,
19416,The next two years,
19417,1801,
19418,centuries,
19419,several years later,
19420,1804-1813,
19421,1826–1828,
19422,the 19th century,
19423,1804,
19424,1804–1813,
19425,1804–1813,
19426,modern-day,
19427,1864,
19428,the early 20th century,
19429,the late 19th century,
19430,decades,
19431,1828,
19432,the mid-fourteenth century,
19433,the fourteenth century,
19434,centuries,
19435,1813,
19436,1828,
19437,more than four centuries,
19438,1832,
19439,the twentieth century,
19440,the early 1890s,
19441,1834,
19442,1848,
19443,1870–1871,
19444,the late 19th,
19445,early 20th centuries,
19446,1906,
19447,"October 7, 1906",
19448,1908,
19449,1919,
19450,1925,
19451,1921,
19452,the next 20 years,
19453,1925,
19454,two years,
19455,almost 16 years,
19456,"September 16, 1941",
19457,1935,
19458,August 1941,
19459,1943,
19460,late 1945,
19461,May 1946,
19462,1941–1979,
19463,the first shaky years,
19464,the 1947 to 1951 period Iran,
19465,1949,
19466,1906,
19467,1951,
19468,1952,
19469,August 1953,
19470,1953,
19471,August 19,
19472,the next 25 years,
19473,1957,
19474,16 years,
19475,1961,
19476,early June 1963 several days,
19477,Two years later,
19478,SAVAK,
19479,the 1970s,
19480,the decade,
19481,1964,
19482,the early 1970s,
19483,November 1971,
19484,April 1969,
19485,1937,
19486,mid-1973,
19487,October 1973,
19488,"March 6, 1975",
19489,1979,
19490,January 1978,
19491,December 1979.In,
19492,January 1979,
19493,"February 1, 1979",
19494,February 11,
19495,"April 1, 1979",
19496,1979,
19497,1989,
19498,1979–1989,
19499,1979,
19500,"June 3, 1989",
19501,This era,
19502,April 1979,
19503,between several months,
19504,1983,
19505,the summer of 1979,
19506,December 1979,
19507,"November 4, 1979",
19508,444 days,
19509,January 1981,
19510,three days,
19511,"September 22, 1980",
19512,1982,
19513,six more years,
19514,1988,
19515,1983,
19516,eight-year,
19517,19 July 1988,
19518,about five months,
19519,1988,
19520,1989,
19521,1989,
19522,"June 3, 1989",
19523,"August 3, 1989",
19524,four-year,
19525,the first few years,
19526,1991,
19527,the 1990s,
19528,the previous decades,
19529,1989,
19530,1997,
19531,July 1999,
19532,a week,
19533,June 2001,
19534,June 2003,
19535,2006,
19536,2005,
19537,"the week of September 3, 2006",
19538,2009,
19539,2005,
19540,2006,
19541,August 2005,
19542,2009,
19543,30 years,
19544,1 July 2009,
19545,15 June 2013,
19546,one day,
19547,election day,
19548,"April 2, 2015",
19549,eight days,
19550,more than a decade,
19551,2015,
19552,12-year,
19553,8 May 2018,
19554,"December 31, 2019",
19555,"January 3, 2020",
19556,3 August 2021,
19557,16 September 2022,
19558,1980,
19559,2002,
19560,978-1568591414,
19561,1991,
19562,0521200954,
19563,1998,
19564,"May,",
19565,2012,
19566,2011,
19567,978-1598843361,
19568,2015,
19569,978-1442241466,
19570,2011,
19571,2008,
19572,1968–1991,
19573,2000,
19574,2015,
19575,9780199335497,
19576,25 April 2013,
19577,August 2008,
19578,7 July 2011,
19579,1948,
19580,2010,
19581,2013,
19582,1107245087,
19583,2007,
19584,1950,
19585,1972,
19586,2014,
19587,1800,
19588,2013,
19589,0415624339,
19590,2003,
19591,1978,
19592,13 August 2013,
19593,10 November 2006,
19594,1715,
19595,"around 33,000 years ago",
19596,the late 4th century AD,
19597,the end of the 6th century,
19598,the late 8th century AD,
19599,1014,
19600,1169,
19601,centuries,
19602,the end of the Wars of the Roses,
19603,1488,
19604,the early 16th century,
19605,1534,
19606,1534 to 1603,
19607,1541,
19608,the 1550s,
19609,1601,
19610,the beginning of Ireland's,
19611,the 17th century,
19612,1641-52,
19613,1689–91,
19614,1 January 1801,
19615,1829,
19616,1845,
19617,the 1880s,
19618,1916,
19619,1922,
19620,the late 1960s,
19621,twenty-eight years,
19622,1998,
19623,1903,
19624,"12,500 years ago",
19625,"12,700 years ago",
19626,the end of the last ice age,
19627,600 BC–400 AD,
19628,AD 431,
19629,the fifth century,
19630,the fifth century,
19631,the 17th century,
19632,60 AD,
19633,80 AD,
19634,AD 100,
19635,recent years,
19636,the first millennium AD,
19637,the 8th century,
19638,the years,
19639,the centuries,
19640,this era,
19641,the new century,
19642,summer 684,
19643,795 AD,
19644,the beginning of two centuries,
19645,the winter months,
19646,the tenth century,
19647,the eleventh century,
19648,the Viking Age,
19649,winter,
19650,the next century,
19651,1014,
19652,the next few years,
19653,this day,
19654,1052,
19655,the days,
19656,the next few decades,
19657,1098,
19658,1102,
19659,Magnus,
19660,Magnus,
19661,August 1103,
19662,1118,
19663,today,
19664,more than 50 years,
19665,the 12th century,
19666,1167,
19667,1177,
19668,1171,
19669,1185,
19670,1210,
19671,the thirteenth century,
19672,twelfth-century,
19673,1261,
19674,about 100 years,
19675,1348,
19676,the end of the 15th century,
19677,1494,
19678,1536,
19679,the 15th century,
19680,1487,
19681,1536,
19682,1542,
19683,that year,
19684,nearly a century,
19685,an extraordinary season,
19686,the autumn of 1588,
19687,1569–73,
19688,1579–83,
19689,1594–1603,
19690,1614,
19691,the early 17th century,
19692,The 17th century,
19693,the 17th century,
19694,eleven years,
19695,1649–1653,
19696,1641,
19697,1690,
19698,the 15th to the 18th century,
19699,the 18th century,
19700,the early 19th century,
19701,1654,
19702,1655,
19703,the eighteenth century,
19704,July 1691,
19705,the 1770s,
19706,the 18th century,
19707,winters,
19708,the end of the Little Ice Age,
19709,between 1740 and 1741,
19710,the 1660s,
19711,the 18th century,
19712,the 18th century,
19713,1793,
19714,1791,
19715,1798,
19716,1767,
19717,1767-72,
19718,the 1780s,
19719,1798,
19720,1800,
19721,1798,
19722,1 January 1801,
19723,1823,
19724,1829,
19725,1829,
19726,1867,
19727,1911,
19728,the nineteenth century,
19729,1803,
19730,1848,
19731,1867,
19732,the nineteenth century,
19733,the 19th,
19734,early 20th century,
19735,The late 19th century,
19736,"1870, 1881",
19737,1903,
19738,1909,
19739,1870,
19740,1902,
19741,the 1870s,
19742,1886,
19743,1893,
19744,1890,
19745,years,
19746,1891,
19747,age 45,
19748,1898,
19749,1910,
19750,1912,
19751,September 1914,
19752,the 10th and 16th,
19753,the 36th,
19754,May 1916,
19755,1917–1918,
19756,1920,
19757,1916,
19758,1918,
19759,spring,
19760,December 1918,
19761,21 January 1919,
19762,1919 to 1921,
19763,July 1921,
19764,December 1921,
19765,1922,
19766,1937,
19767,1949,
19768,the next 75 years,
19769,1922,
19770,Between 1922 and 1923,
19771,today,
19772,1929,
19773,1932,
19774,the mid-1930s,
19775,1932,
19776,1961,
19777,1922,
19778,the 1960s,
19779,the early 1920s,
19780,1945,
19781,1937,
19782,1949,
19783,the 1960s,
19784,1968,
19785,the early 1960s,
19786,1973,
19787,the 1970s,
19788,1979,
19789,the late 1980s,
19790,the late 1990s,
19791,the early 2000s,
19792,between 1993 and 2006,
19793,weekly,
19794,twenty years,
19795,the 1990s,
19796,2008,
19797,the 1990s,
19798,1989,
19799,2007,
19800,February 2012.However,
19801,2014,
19802,1921,
19803,1921 to 1972,
19804,1926,
19805,the late 1960s,
19806,1967,
19807,1963,
19808,October 1968,
19809,August 1969,
19810,the late 1960s,
19811,the late sixties,
19812,early seventies,
19813,30 January 1972,
19814,Friday,
19815,Sunday,
19816,the early 1970s,
19817,1972,
19818,1973,
19819,the next 27½ years,
19820,five months in 1974,
19821,1973,
19822,December 1973,
19823,1973,
19824,1925,
19825,1982,
19826,the 1970s,
19827,the 1980s,
19828,1985,
19829,the 1970s and 1980s,
19830,the 1990s,
19831,1999,
19832,10 April 1998,
19833,2 December 1999,
19834,between January and May 2000,
19835,October 2002,
19836,April 2007,
19837,2003,
19838,28 July 2005,
19839,25 September 2005,
19840,April 2007,
19841,the beginning of the 1990s,
19842,the 1990s,
19843,1992,
19844,2011,
19845,the mid-19th century,
19846,one day,
19847,1916,
19848,1937,
19849,today,
19850,the 19th century,
19851,the 18th century,
19852,the late 1930s,
19853,2012,
19854,a decade,
19855,1990,
19856,1980,
19857,the 18th and 19th centuries,
